date,Power_kW,NN_pred
2019-01-12 02:00:00,98.453,97.79932647842612
2019-01-12 03:00:00,98.938,94.14905147214692
2019-01-12 04:00:00,101.973,93.57457174468652
2019-01-12 05:00:00,97.535,101.18970661958856
2019-01-12 06:00:00,98.664,104.25374150335549
2019-01-12 07:00:00,104.107,109.30915792382787
2019-01-12 08:00:00,99.225,107.84712548912093
2019-01-12 09:00:00,97.973,96.20904565561604
2019-01-12 10:00:00,106.693,95.8488676025975
2019-01-12 11:00:00,100.643,105.94424019784248
2019-01-12 12:00:00,100.291,103.11013658049374
2019-01-12 13:00:00,104.048,105.98181602055321
2019-01-12 14:00:00,101.538,109.80508507462761
2019-01-12 15:00:00,100.185,99.74447950009045
2019-01-12 16:00:00,106.279,100.1800651609012
2019-01-12 17:00:00,98.598,104.75391731863164
2019-01-12 18:00:00,99.106,101.56449398994684
2019-01-12 19:00:00,100.145,102.97262389819568
2019-01-12 20:00:00,103.989,94.80104950334305
2019-01-12 21:00:00,97.191,98.14654585026636
2019-01-12 22:00:00,99.225,95.08863524461457
2019-01-12 23:00:00,100.029,97.36497231444426
2019-01-13 00:00:00,99.828,89.36294903545587
2019-01-13 01:00:00,97.938,91.99349462081081
2019-01-13 02:00:00,101.342,93.04064074242314
2019-01-13 03:00:00,99.13,96.38680026325264
2019-01-13 04:00:00,97.773,94.52730988817135
2019-01-13 05:00:00,99.421,100.23346145044464
2019-01-13 06:00:00,100.629,106.82640672101837
2019-01-13 07:00:00,100.085,109.31459029123398
2019-01-13 08:00:00,101.76,104.78672039080824
2019-01-13 09:00:00,105.083,101.36147883984951
2019-01-13 10:00:00,105.156,99.97274988363601
2019-01-13 11:00:00,107.537,101.61457334055856
2019-01-13 12:00:00,107.885,105.5350360509196
2019-01-13 13:00:00,109.373,108.72337611531665
2019-01-13 14:00:00,105.773,112.70472952691523
2019-01-13 15:00:00,104.773,101.98532493000666
2019-01-13 16:00:00,104.497,102.66804908009316
2019-01-13 17:00:00,111.094,103.60668563101368
2019-01-13 18:00:00,105.559,108.45342644381752
2019-01-13 19:00:00,105.263,106.44121689675237
2019-01-13 20:00:00,104.619,97.5129674336675
2019-01-13 21:00:00,109.852,98.39020612062708
2019-01-13 22:00:00,103.032,102.53496551999486
2019-01-13 23:00:00,100.617,99.43522729761673
2019-01-14 00:00:00,104.343,92.41431772332098
2019-01-14 01:00:00,101.641,98.10311571442917
2019-01-14 02:00:00,102.776,104.90549502357965
