date,Power_kW,LR_pred
2019-01-17 09:00:00,238.721,222.73103167685082
2019-01-17 10:00:00,269.526,251.40816758648162
2019-01-17 11:00:00,346.606,275.11911820739834
2019-01-17 12:00:00,285.645,335.4657762067594
2019-01-17 13:00:00,303.504,286.4757509504072
2019-01-17 14:00:00,301.837,299.72992230984585
2019-01-17 15:00:00,309.887,273.64432493800996
2019-01-17 16:00:00,284.652,278.55592644463445
2019-01-17 17:00:00,265.382,256.9341901746883
2019-01-17 18:00:00,232.572,240.28827748372908
2019-01-17 19:00:00,174.808,213.08026459052434
2019-01-17 20:00:00,157.979,142.59361061545187
2019-01-17 21:00:00,125.143,128.2844074547854
2019-01-17 22:00:00,115.932,101.16985906910057
2019-01-17 23:00:00,102.316,92.74016649806708
2019-01-18 00:00:00,105.133,100.89974474687531
2019-01-18 01:00:00,108.978,102.09513791307171
2019-01-18 02:00:00,104.535,104.24650947208431
2019-01-18 03:00:00,109.848,99.71268332514057
2019-01-18 04:00:00,102.124,102.90961592091071
2019-01-18 05:00:00,104.071,95.8190775089079
2019-01-18 06:00:00,112.731,96.42349196137403
2019-01-18 07:00:00,152.41,149.52186832757835
2019-01-18 08:00:00,202.649,180.17758319851015
2019-01-18 09:00:00,240.12,219.99979320490138
2019-01-18 10:00:00,268.862,249.74109153713476
2019-01-18 11:00:00,342.639,271.5378597797632
2019-01-18 12:00:00,288.543,329.5147008935016
2019-01-18 13:00:00,298.233,285.5155487731439
2019-01-18 14:00:00,297.532,291.9446051341996
2019-01-18 15:00:00,295.374,265.97288230188235
2019-01-18 16:00:00,273.328,262.37075551883765
2019-01-18 17:00:00,253.069,243.91890497846933
2019-01-18 18:00:00,221.797,227.28264728310182
2019-01-18 19:00:00,160.356,202.23443786056652
2019-01-18 20:00:00,142.911,130.00795826072454
2019-01-18 21:00:00,117.48,114.85834295924283
2019-01-18 22:00:00,109.641,93.76513674977312
2019-01-18 23:00:00,105.363,86.52586197367845
2019-01-19 00:00:00,106.896,102.18457434298688
2019-01-19 01:00:00,102.281,102.26538804256069
2019-01-19 02:00:00,102.128,97.09354436992804
2019-01-19 03:00:00,103.738,95.10047728419107
2019-01-19 04:00:00,99.617,94.69632646506614
2019-01-19 05:00:00,103.055,90.33686452043219
2019-01-19 06:00:00,99.943,92.23653507188634
2019-01-19 07:00:00,110.523,136.17575563449523
2019-01-19 08:00:00,118.979,143.8501111132277
2019-01-19 09:00:00,118.4,150.6589069928675
2019-01-19 10:00:00,117.496,150.7608052433537
2019-01-19 11:00:00,127.516,149.72687400766785
2019-01-19 12:00:00,120.666,156.42744951253823
2019-01-19 13:00:00,119.462,149.91334027597233
2019-01-19 14:00:00,122.667,147.7456742162696
2019-01-19 15:00:00,123.043,125.52762255111558
2019-01-19 16:00:00,123.702,124.73350473677098
2019-01-19 17:00:00,121.935,124.57290540540518
2019-01-19 18:00:00,121.187,122.2497327465142
2019-01-19 19:00:00,115.851,120.71924896614152
2019-01-19 20:00:00,114.567,91.79156773917137
2019-01-19 21:00:00,105.612,89.43756365763832
2019-01-19 22:00:00,102.212,81.38575545499125
2019-01-19 23:00:00,101.173,77.63484535387958
2019-01-20 00:00:00,98.475,95.61264942649142
2019-01-20 01:00:00,100.307,92.36552532807276
